UDI,Product_ID,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,TWF,HDF,PWF,OSF,RNF,Machine_failure,Failure_mode
40,M47039,M,300.45,310.5,1475,51.59,63.2,0,0,0,0,0,0,No_Failure
41,L47040,L,296.71,306.68,1468,37.77,6.7,0,0,0,0,0,0,No_Failure
42,H47041,H,298.66,307.63,1352,45.49,148.8,0,0,0,0,0,0,No_Failure
43,M47042,M,297.0,307.84,1334,47.78,142.3,0,0,0,0,0,0,No_Failure
44,L47043,L,296.61,306.58,1405,47.36,77.9,0,0,0,0,0,0,No_Failure
45,H47044,H,300.24,311.68,1506,50.0,58.7,0,0,0,0,0,0,No_Failure
46,H47045,H,301.12,312.04,1163,34.4,114.6,0,0,0,0,0,0,No_Failure
47,L47046,L,300.88,310.26,1670,30.47,26.3,0,0,0,0,0,0,No_Failure
48,L47047,L,301.21,312.45,1503,51.87,215.8,0,0,0,0,0,0,No_Failure
49,M47048,M,299.98,307.42,1308,31.28,210.5,0,0,0,0,0,0,No_Failure
50,L47049,L,299.45,311.38,1791,58.61,150.8,0,0,1,0,0,1,PWF
51,L47050,L,297.85,306.52,1508,32.36,228.1,0,0,0,0,0,0,No_Failure
52,L47051,L,299.12,309.61,1260,36.19,155.2,0,0,0,0,0,0,No_Failure
53,M47052,M,297.36,307.78,1783,38.1,124.2,0,0,0,0,0,0,No_Failure
54,M47053,M,298.31,309.43,1744,24.59,151.8,0,0,0,0,0,0,No_Failure
55,M47054,M,300.18,309.85,1336,24.62,21.6,0,0,1,0,0,1,PWF
56,M47055,M,299.76,307.62,1442,49.12,55.0,0,0,0,0,0,0,No_Failure
57,L47056,L,306.13,315.8,1418,22.8,141.3,0,0,0,0,0,0,No_Failure
58,M47057,M,297.31,307.09,1160,65.2,28.4,0,0,0,0,0,0,No_Failure
59,L47058,L,299.75,307.7,1558,39.06,204.8,0,0,0,0,0,0,No_Failure
60,L47059,L,297.15,307.2,1652,29.71,43.1,0,0,0,0,0,0,No_Failure
61,M47060,M,299.22,308.15,1618,44.2,105.9,0,0,0,0,0,0,No_Failure
62,L47061,L,299.31,309.95,1506,15.38,122.6,0,0,0,0,0,0,No_Failure
63,M47062,M,301.69,311.44,1670,36.66,40.0,0,0,0,0,0,0,No_Failure
64,M47063,M,299.1,311.06,1296,37.95,61.3,0,0,0,0,0,0,No_Failure
65,M47064,M,299.62,309.36,1827,27.34,122.6,0,0,0,0,0,0,No_Failure
66,M47065,M,299.14,309.57,1361,33.68,27.0,0,0,0,0,0,0,No_Failure
67,M47066,M,297.2,306.98,1381,55.26,47.4,0,0,0,0,0,0,No_Failure
68,L47067,L,298.7,307.07,1396,41.83,5.9,0,0,0,0,0,0,No_Failure
69,L47068,L,299.24,309.03,1383,43.99,128.1,0,0,0,0,0,0,No_Failure
70,L47069,L,300.15,310.9,1465,32.13,208.0,0,0,0,0,0,0,No_Failure
71,L47070,L,301.12,311.72,1458,26.77,205.1,0,0,0,0,0,0,No_Failure
72,L47071,L,299.53,309.24,1523,37.59,89.8,0,0,0,0,0,0,No_Failure
73,H47072,H,299.5,308.04,1353,15.42,173.9,0,0,1,0,0,1,PWF
74,L47073,L,296.56,307.2,1530,29.03,250.4,0,0,0,0,0,0,No_Failure
75,L47074,L,301.08,311.5,1304,27.48,107.1,0,0,0,0,0,0,No_Failure
76,L47075,L,298.61,309.45,1632,19.61,231.2,1,0,0,0,0,1,TWF
77,L47076,L,301.49,311.22,1630,46.49,197.0,0,0,0,0,0,0,No_Failure
78,M47077,M,302.63,310.95,1499,38.69,44.7,0,0,0,0,0,0,No_Failure
79,M47078,M,299.62,310.16,1383,33.8,112.4,0,0,0,0,0,0,No_Failure
80,M47079,M,297.95,307.94,1556,46.71,235.5,1,0,0,0,0,1,TWF
81,M47080,M,299.97,311.36,1340,23.56,42.4,0,0,0,0,0,0,No_Failure
82,L47081,L,300.7,310.73,1506,26.56,14.6,0,0,0,0,0,0,No_Failure
83,H47082,H,299.37,309.32,1473,51.17,67.6,0,0,0,0,0,0,No_Failure
84,L47083,L,298.87,309.29,1973,62.81,1.2,0,0,0,0,0,0,No_Failure
85,L47084,L,301.13,310.53,1279,46.84,32.2,0,0,0,0,0,0,No_Failure
86,L47085,L,301.0,310.35,1020,44.72,107.8,0,0,0,0,0,0,No_Failure
87,M47086,M,299.31,309.21,1385,34.18,193.4,0,0,0,0,0,0,No_Failure
88,L47087,L,296.69,305.77,1191,34.41,54.1,0,0,0,0,0,0,No_Failure
89,L47088,L,300.91,310.68,1369,42.27,215.0,0,0,0,0,0,0,No_Failure
90,M47089,M,298.47,310.4,1266,53.73,249.9,0,0,0,0,0,0,No_Failure
91,L47090,L,300.43,311.47,1337,44.27,117.4,0,0,0,0,0,0,No_Failure
92,M47091,M,300.3,310.61,1308,49.58,251.0,0,0,0,0,0,0,No_Failure
93,L47092,L,296.22,307.77,1673,30.84,146.2,0,0,0,0,0,0,No_Failure
94,L47093,L,300.16,309.34,1491,46.17,15.2,0,0,0,0,0,0,No_Failure
95,L47094,L,301.03,313.52,1694,33.29,28.0,0,0,0,0,0,0,No_Failure
96,M47095,M,301.27,310.81,1507,41.4,129.8,0,0,0,0,0,0,No_Failure
97,L47096,L,300.23,312.24,1667,46.16,233.2,0,0,0,0,0,0,No_Failure
98,L47097,L,296.05,308.05,1446,34.69,24.9,0,0,0,0,0,0,No_Failure
99,L47098,L,302.55,310.8,1787,29.83,144.6,0,0,0,0,0,0,No_Failure
100,H47099,H,300.82,312.29,1585,43.63,205.2,0,0,0,0,0,0,No_Failure
101,H47100,H,297.59,307.31,1360,38.65,248.7,0,0,0,0,0,0,No_Failure
102,M47101,M,298.42,307.86,1611,41.36,229.7,0,0,0,0,0,0,No_Failure
103,L47102,L,300.46,310.99,1505,46.57,26.8,0,0,0,0,0,0,No_Failure
104,H47103,H,301.36,310.35,1464,53.07,19.4,0,0,0,0,0,0,No_Failure
105,M47104,M,299.02,309.53,1517,46.63,51.9,0,0,0,0,0,0,No_Failure
106,M47105,M,301.65,310.71,1635,45.32,70.8,0,0,0,0,0,0,No_Failure
107,L47106,L,296.41,306.59,1119,35.0,219.0,0,0,0,0,0,0,No_Failure
108,L47107,L,297.92,309.25,1437,36.53,163.2,0,0,0,0,0,0,No_Failure
109,L47108,L,295.87,306.26,1623,44.55,238.4,0,0,0,0,0,0,No_Failure
110,H47109,H,298.21,307.85,1545,36.37,106.0,0,0,0,0,0,0,No_Failure
111,L47110,L,303.02,313.56,1297,44.5,103.8,0,0,0,0,0,0,No_Failure
112,L47111,L,304.12,312.71,1074,31.84,70.7,0,0,0,0,0,0,No_Failure
113,L47112,L,300.47,309.63,1806,59.29,110.7,0,0,0,0,0,0,No_Failure
114,M47113,M,298.72,308.29,1466,41.94,200.1,0,0,0,0,0,0,No_Failure
115,L47114,L,299.56,310.34,1773,41.28,176.3,0,0,0,0,0,0,No_Failure
116,H47115,H,300.95,311.35,1643,35.17,199.8,0,0,0,0,0,0,No_Failure
117,M47116,M,296.87,307.41,1357,59.13,210.2,0,0,0,0,0,0,No_Failure
118,M47117,M,298.86,308.83,1050,27.47,1.1,0,0,0,0,0,0,No_Failure
119,L47118,L,302.87,312.08,1417,32.97,60.0,0,0,0,0,0,0,No_Failure
120,M47119,M,297.91,309.4,1493,48.54,165.5,0,0,0,0,0,0,No_Failure
121,M47120,M,298.5,307.8,1581,42.4,112.9,0,0,0,0,0,0,No_Failure
122,M47121,M,300.03,310.45,1300,34.23,29.7,0,0,0,0,0,0,No_Failure
123,L47122,L,300.57,310.45,1532,34.52,16.4,0,0,0,0,0,0,No_Failure
124,L47123,L,298.75,309.31,1532,37.09,238.7,1,0,0,0,0,1,TWF
125,L47124,L,300.15,309.55,1677,41.02,214.7,0,0,0,0,0,0,No_Failure
126,L47125,L,301.22,312.27,1445,55.54,80.7,0,0,0,0,0,0,No_Failure
127,L47126,L,303.92,315.3,1580,46.05,161.7,0,0,0,0,0,0,No_Failure
128,L47127,L,299.75,310.74,1552,50.23,37.1,0,0,0,0,0,0,No_Failure
129,L47128,L,299.92,310.08,1658,35.66,34.1,0,0,0,0,0,0,No_Failure
130,M47129,M,303.05,312.62,1352,45.16,84.4,0,0,0,0,0,0,No_Failure
131,L47130,L,298.9,311.72,947,24.45,71.2,0,0,0,0,0,0,No_Failure
132,H47131,H,297.35,306.36,1457,41.82,247.8,0,0,0,0,0,0,No_Failure
133,M47132,M,300.5,311.38,1458,41.18,6.2,0,0,0,0,0,0,No_Failure
134,L47133,L,302.15,312.49,1292,58.21,138.5,0,0,0,0,0,0,No_Failure
135,M47134,M,300.72,310.66,1229,55.58,216.1,0,0,0,0,0,0,No_Failure
136,L47135,L,299.81,309.99,1397,37.42,6.6,0,0,0,0,0,0,No_Failure
137,H47136,H,297.1,306.59,1479,31.83,140.1,0,0,0,0,0,0,No_Failure
138,L47137,L,299.88,310.31,1517,32.1,96.1,0,1,0,0,0,1,HDF
139,M47138,M,302.47,312.78,1089,37.05,54.6,0,0,0,0,0,0,No_Failure
140,L47139,L,297.53,310.21,1184,53.02,59.5,0,0,0,0,0,0,No_Failure
141,L47140,L,299.51,310.58,1703,44.15,206.1,0,0,0,0,0,0,No_Failure
142,L47141,L,299.23,309.74,1466,45.18,117.5,0,0,0,0,0,0,No_Failure
143,H47142,H,298.6,309.18,1500,48.11,11.6,0,0,0,0,0,0,No_Failure
144,M47143,M,300.5,312.34,1260,30.06,103.4,0,0,0,0,0,0,No_Failure
145,L47144,L,300.89,309.92,1499,32.91,206.6,0,0,0,0,0,0,No_Failure
146,L47145,L,300.87,310.68,1432,45.2,174.4,0,0,0,0,0,0,No_Failure
147,L47146,L,298.05,306.14,1389,32.21,241.6,1,0,0,0,0,1,TWF
148,M47147,M,296.71,307.27,1237,24.74,195.6,0,0,1,0,0,1,PWF
149,L47148,L,300.52,311.37,1344,29.17,43.2,0,0,0,0,0,0,No_Failure
150,L47149,L,298.99,307.99,1855,50.54,16.9,0,0,1,0,0,1,PWF
151,H47150,H,303.68,315.11,1437,36.26,117.0,0,0,0,0,0,0,No_Failure
152,H47151,H,303.77,313.05,1642,42.26,112.5,0,0,0,0,0,0,No_Failure
153,L47152,L,303.98,313.64,1465,29.67,138.6,0,0,0,0,0,0,No_Failure
154,M47153,M,298.12,308.24,1444,43.79,169.9,0,0,0,0,0,0,No_Failure
155,L47154,L,301.14,312.73,1386,37.3,64.3,0,0,0,0,0,0,No_Failure
156,M47155,M,301.74,310.88,1742,44.46,250.0,0,0,0,0,0,0,No_Failure
157,L47156,L,301.52,311.81,1567,35.22,125.2,0,0,0,0,0,0,No_Failure
158,M47157,M,299.29,310.07,1358,45.04,180.9,0,0,0,0,0,0,No_Failure
159,M47158,M,302.56,313.13,1429,34.73,103.3,0,0,0,0,0,0,No_Failure
160,M47159,M,300.0,310.61,1694,39.2,173.2,0,0,0,0,0,0,No_Failure
161,L47160,L,300.26,311.02,989,37.28,248.8,1,0,0,0,0,1,TWF
162,H47161,H,296.92,306.37,1556,40.26,38.9,0,0,0,0,0,0,No_Failure
163,L47162,L,301.29,312.98,1597,42.79,110.3,0,0,0,0,0,0,No_Failure
164,L47163,L,299.48,309.37,1365,35.05,176.3,0,0,0,0,0,0,No_Failure
165,M47164,M,300.93,310.69,1528,38.8,216.8,0,0,0,0,0,0,No_Failure
166,L47165,L,300.47,311.82,1590,41.86,161.2,0,0,0,0,0,0,No_Failure
167,H47166,H,300.36,309.73,1278,45.08,58.5,0,0,0,0,0,0,No_Failure
168,H47167,H,299.91,310.23,1652,39.24,163.2,0,0,0,0,0,0,No_Failure
169,L47168,L,301.57,310.85,1554,31.13,157.6,0,0,0,0,0,0,No_Failure
170,H47169,H,299.6,312.12,1472,40.86,11.0,0,0,0,0,0,0,No_Failure
171,L47170,L,297.09,309.4,1519,46.7,153.5,0,0,0,0,0,0,No_Failure
172,M47171,M,301.14,311.03,1627,26.67,134.7,0,0,0,0,0,0,No_Failure
173,L47172,L,298.38,308.9,1917,26.79,73.2,0,0,0,0,0,0,No_Failure
174,H47173,H,297.35,307.36,1610,33.38,60.4,0,0,0,0,0,0,No_Failure
175,L47174,L,297.96,307.61,1646,38.08,194.3,0,0,0,0,0,0,No_Failure
176,L47175,L,300.57,310.69,1535,18.03,16.4,0,0,1,0,0,1,PWF
177,L47176,L,299.81,309.77,1842,45.74,72.0,0,0,0,0,0,0,No_Failure
178,H47177,H,295.73,304.21,1236,38.17,177.4,0,0,0,0,0,0,No_Failure
179,H47178,H,299.23,309.5,1187,16.49,52.9,0,0,0,0,0,0,No_Failure
180,M47179,M,302.34,312.3,1528,28.87,29.8,0,0,0,0,0,0,No_Failure
181,H47180,H,299.1,309.41,1619,36.99,248.7,1,0,0,0,0,1,TWF
182,H47181,H,299.67,309.59,1037,22.27,143.1,0,0,0,0,0,0,No_Failure
183,M47182,M,302.09,311.73,1499,49.7,68.0,0,0,0,0,0,0,No_Failure
184,L47183,L,301.59,312.47,1468,41.87,39.0,0,0,0,0,0,0,No_Failure
185,M47184,M,302.04,312.58,1634,46.78,1.8,0,0,0,0,0,0,No_Failure
186,M47185,M,294.45,305.85,1577,29.71,189.7,0,0,0,0,0,0,No_Failure
187,L47186,L,303.47,313.96,1175,44.11,90.4,0,0,0,0,0,0,No_Failure
188,L47187,L,301.27,311.08,1306,33.39,49.2,0,0,0,0,0,0,No_Failure
189,M47188,M,304.92,315.54,1355,38.08,228.6,0,0,0,0,0,0,No_Failure
190,L47189,L,298.44,306.45,1633,43.53,176.2,0,0,0,0,0,0,No_Failure
191,H47190,H,296.47,308.58,1567,39.3,205.0,0,0,0,0,0,0,No_Failure
192,L47191,L,300.01,310.29,1388,48.08,165.9,0,0,0,0,0,0,No_Failure
193,L47192,L,299.45,311.63,1526,41.39,231.9,0,0,0,0,0,0,No_Failure
194,H47193,H,301.31,310.44,1310,35.37,87.1,0,0,0,0,0,0,No_Failure
195,L47194,L,302.15,311.03,1869,48.43,39.6,0,0,0,0,0,0,No_Failure
196,L47195,L,299.83,310.19,1603,50.54,1.7,0,0,0,0,0,0,No_Failure
197,M47196,M,299.52,309.88,1642,40.88,8.6,0,0,0,0,0,0,No_Failure
198,H47197,H,301.05,311.38,1748,53.36,216.0,0,0,0,0,0,0,No_Failure
199,L47198,L,299.49,309.67,1683,37.65,155.6,0,0,0,0,0,0,No_Failure
200,L47199,L,299.32,308.69,1506,38.72,11.5,0,0,0,0,0,0,No_Failure
201,M47200,M,302.07,310.59,1467,40.04,27.0,0,0,0,0,0,0,No_Failure
202,H47201,H,302.52,312.8,1732,38.7,176.2,0,0,0,0,0,0,No_Failure
203,M47202,M,302.17,310.89,1505,36.89,97.4,0,0,0,0,0,0,No_Failure
204,L47203,L,299.66,308.29,1365,32.85,195.9,0,0,0,0,0,0,No_Failure
205,L47204,L,295.72,305.34,1854,30.06,236.9,0,0,0,0,0,0,No_Failure
206,L47205,L,299.7,310.13,1332,41.11,191.3,0,1,0,0,0,1,HDF
207,L47206,L,298.48,310.47,1188,51.98,45.9,0,0,0,0,0,0,No_Failure
208,M47207,M,299.74,310.72,1679,48.14,164.4,0,0,0,0,0,0,No_Failure
209,L47208,L,298.66,310.09,1368,43.88,150.6,0,0,0,0,0,0,No_Failure
210,M47209,M,299.96,310.61,1578,52.49,214.5,0,0,0,0,0,0,No_Failure
211,M47210,M,297.92,308.29,1827,40.19,50.7,0,0,0,0,0,0,No_Failure
212,M47211,M,297.44,309.94,1253,30.11,181.9,0,0,0,0,0,0,No_Failure
213,L47212,L,302.45,311.12,1493,36.51,151.7,0,0,0,0,0,0,No_Failure
214,H47213,H,298.06,307.65,1767,39.39,120.8,0,0,0,0,0,0,No_Failure
215,M47214,M,300.0,309.67,1623,34.88,73.6,0,0,0,0,0,0,No_Failure
216,M47215,M,301.91,312.8,1468,46.1,6.6,0,0,0,0,0,0,No_Failure
217,L47216,L,301.83,310.85,1930,49.36,203.8,0,0,0,0,0,0,No_Failure
218,L47217,L,301.59,312.35,1483,22.68,27.2,0,0,0,0,0,0,No_Failure
219,H47218,H,300.61,311.19,1571,38.55,95.5,0,0,0,0,0,0,No_Failure
220,L47219,L,301.45,312.26,1797,10.97,125.5,0,0,0,0,0,0,No_Failure
221,L47220,L,302.75,313.54,1677,39.08,83.4,0,0,0,0,0,0,No_Failure
222,L47221,L,300.85,312.39,1738,38.97,167.6,0,0,0,0,0,0,No_Failure
223,M47222,M,296.33,306.28,1338,57.76,83.1,0,0,0,0,0,0,No_Failure
224,H47223,H,298.94,309.47,1721,54.76,130.6,0,0,0,0,0,0,No_Failure
225,L47224,L,301.39,310.66,1531,49.32,24.1,0,0,0,0,0,0,No_Failure
226,H47225,H,298.75,307.78,1366,30.4,109.9,0,0,0,0,0,0,No_Failure
227,L47226,L,303.24,315.01,1540,29.82,147.5,0,0,0,0,0,0,No_Failure
228,M47227,M,299.87,309.06,1534,29.04,218.0,0,0,0,0,0,0,No_Failure
229,M47228,M,300.17,310.81,1836,55.27,45.9,0,0,1,0,0,1,PWF
230,L47229,L,302.25,312.78,1569,30.9,85.7,0,0,0,0,0,0,No_Failure
231,L47230,L,299.63,310.81,1359,36.14,65.6,0,0,0,0,0,0,No_Failure
232,L47231,L,300.35,308.69,1318,31.0,38.6,0,1,0,0,0,1,HDF
233,H47232,H,301.8,312.69,1491,27.42,97.6,0,0,0,0,0,0,No_Failure
234,M47233,M,297.06,307.0,1258,43.33,229.8,1,0,0,0,0,1,TWF
235,H47234,H,299.43,308.83,1371,41.53,94.4,0,0,0,0,0,0,No_Failure
236,H47235,H,301.66,311.41,1456,17.75,68.9,0,0,1,0,0,1,PWF
237,L47236,L,300.13,311.17,1424,26.98,242.4,0,0,0,0,0,0,No_Failure
238,M47237,M,302.93,313.67,1631,42.55,181.0,0,0,0,0,0,0,No_Failure
239,L47238,L,296.85,306.72,1367,39.28,93.5,0,0,0,0,0,0,No_Failure
240,L47239,L,296.62,305.48,1055,35.99,189.6,0,0,0,0,0,0,No_Failure
241,H47240,H,301.54,310.47,1197,46.06,161.6,0,0,0,0,0,0,No_Failure
242,M47241,M,301.73,312.48,1497,25.57,216.3,0,0,0,0,0,0,No_Failure
243,L47242,L,299.61,308.34,1394,34.05,28.1,0,0,0,0,0,0,No_Failure
244,M47243,M,300.8,310.68,1277,45.18,136.6,0,0,0,0,0,0,No_Failure
245,M47244,M,301.49,314.17,1853,33.51,177.6,0,0,0,0,0,0,No_Failure
246,H47245,H,298.37,308.83,1649,43.13,252.4,1,0,0,0,0,1,TWF
247,M47246,M,298.59,309.33,1489,28.54,152.2,0,0,0,0,0,0,No_Failure
248,L47247,L,300.38,309.32,1542,31.76,35.6,0,0,0,0,0,0,No_Failure
249,L47248,L,301.81,310.58,1452,22.18,245.8,1,0,0,0,0,1,TWF
250,L47249,L,297.67,308.46,1274,19.43,116.1,0,0,0,0,0,0,No_Failure
251,M47250,M,299.6,309.32,1686,35.24,123.5,0,0,0,0,0,0,No_Failure
252,H47251,H,299.51,310.69,1653,44.5,64.0,0,0,0,0,0,0,No_Failure
253,L47252,L,300.84,310.98,1144,38.85,205.8,0,0,0,0,0,0,No_Failure
254,L47253,L,299.98,313.54,1541,51.6,133.9,0,1,0,0,0,1,HDF
255,L47254,L,298.91,308.44,1561,36.07,246.4,0,0,0,0,0,0,No_Failure
256,M47255,M,302.5,312.89,1442,18.8,131.3,0,0,1,0,0,1,PWF
257,H47256,H,298.92,308.13,1878,43.44,45.7,0,0,0,0,0,0,No_Failure
258,L47257,L,299.42,310.55,1858,29.21,194.9,0,0,0,0,0,0,No_Failure
259,L47258,L,296.82,307.36,1432,41.26,37.4,0,0,0,0,0,0,No_Failure
260,M47259,M,298.57,307.71,1460,17.15,71.7,0,0,1,0,0,1,PWF
261,L47260,L,301.03,310.81,1439,37.25,237.7,0,0,0,0,0,0,No_Failure
262,H47261,H,300.64,312.11,1390,47.03,247.0,0,0,0,0,0,0,No_Failure
263,L47262,L,301.2,312.55,1334,45.8,196.5,0,0,0,0,0,0,No_Failure
264,L47263,L,301.1,309.79,1591,37.49,52.3,0,0,0,0,0,0,No_Failure
265,H47264,H,304.18,313.81,1853,39.49,187.7,0,0,0,0,0,0,No_Failure
266,L47265,L,298.5,310.43,1779,35.03,150.3,0,0,0,0,0,0,No_Failure
267,L47266,L,296.76,306.69,1642,37.02,113.0,0,0,0,0,0,0,No_Failure
268,L47267,L,297.9,308.18,1067,46.27,112.9,0,0,0,0,0,0,No_Failure
269,L47268,L,298.59,309.72,1164,32.5,114.6,0,0,0,0,0,0,No_Failure
270,L47269,L,298.05,306.82,1692,33.48,81.6,0,0,0,0,0,0,No_Failure
271,L47270,L,300.19,309.35,1791,24.2,136.1,0,0,0,0,0,0,No_Failure
272,L47271,L,302.51,312.28,1600,46.47,9.2,0,0,0,0,0,0,No_Failure
273,L47272,L,303.08,314.38,1445,36.8,214.7,0,0,0,0,0,0,No_Failure
274,M47273,M,301.01,312.13,1743,27.37,227.0,0,0,0,0,0,0,No_Failure
275,M47274,M,304.28,315.1,1636,48.22,98.9,0,0,0,0,0,0,No_Failure
276,L47275,L,299.29,309.25,1705,38.99,240.0,0,0,0,0,0,0,No_Failure
277,L47276,L,296.73,307.96,1166,32.03,196.4,0,0,0,0,0,0,No_Failure
278,M47277,M,302.11,312.05,1562,48.38,214.5,0,0,0,0,0,0,No_Failure
279,H47278,H,296.32,307.0,1819,36.04,225.5,0,0,0,0,0,0,No_Failure
280,H47279,H,298.49,309.5,1595,23.76,86.1,0,0,0,0,0,0,No_Failure
281,L47280,L,301.04,312.84,1671,49.04,205.6,0,0,0,0,0,0,No_Failure
282,L47281,L,299.8,309.84,1507,31.05,36.7,0,0,0,0,0,0,No_Failure
283,L47282,L,299.62,309.36,1519,69.66,247.2,0,0,1,1,0,1,PWF
284,L47283,L,297.64,309.03,1752,35.0,150.6,0,0,0,0,0,0,No_Failure
285,M47284,M,299.98,311.45,1379,19.3,175.6,0,0,0,0,0,0,No_Failure
286,L47285,L,302.01,311.56,1362,57.0,77.5,0,0,0,0,0,0,No_Failure
287,L47286,L,300.04,309.03,1414,38.89,8.1,0,0,0,0,0,0,No_Failure
288,L47287,L,298.34,309.66,1504,42.01,41.3,0,0,0,0,0,0,No_Failure
289,M47288,M,297.5,305.96,1210,43.27,35.9,0,1,0,0,0,1,HDF
290,L47289,L,298.38,306.79,1632,25.85,111.9,0,0,0,0,0,0,No_Failure
291,H47290,H,300.78,310.62,1470,17.79,74.0,0,0,0,0,0,0,No_Failure
292,L47291,L,300.69,310.79,1654,58.99,238.9,0,0,1,0,0,1,PWF
293,H47292,H,298.4,307.34,1119,23.82,212.9,0,0,1,0,0,1,PWF
294,L47293,L,295.58,305.8,1654,55.84,136.6,0,0,1,0,0,1,PWF
295,H47294,H,300.84,311.11,1741,44.72,215.7,0,0,0,0,0,0,No_Failure
296,H47295,H,298.2,307.72,1579,41.21,148.0,0,0,0,0,0,0,No_Failure
297,H47296,H,301.38,313.41,1505,34.78,232.8,0,0,0,0,0,0,No_Failure
298,H47297,H,298.49,308.92,1656,62.55,188.5,0,0,0,0,0,0,No_Failure
299,M47298,M,298.02,309.15,1729,32.53,186.0,0,0,0,0,0,0,No_Failure
300,M47299,M,300.31,308.85,1594,32.81,69.5,0,0,0,0,0,0,No_Failure
301,M47300,M,304.72,313.25,1608,46.19,201.0,0,0,0,0,0,0,No_Failure
302,L47301,L,301.5,311.96,1798,32.73,195.4,0,0,0,0,0,0,No_Failure
303,M47302,M,300.27,312.13,1637,29.34,20.5,0,0,0,0,0,0,No_Failure
304,M47303,M,300.72,309.71,1356,38.89,14.6,0,0,0,0,0,0,No_Failure
305,H47304,H,296.5,306.64,1728,46.34,223.0,0,0,0,0,0,0,No_Failure
306,L47305,L,297.76,306.52,1478,58.26,247.7,0,0,0,0,0,0,No_Failure
307,L47306,L,294.98,304.26,1506,60.3,153.0,0,0,0,0,0,0,No_Failure
308,M47307,M,303.46,313.65,1519,21.56,43.2,0,0,0,0,0,0,No_Failure
